ID,Location_Current,Sex,Status,Sire,Dam,Birth_Type,Event,Date,Location
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,01/Jan/1985 +/- 6 month,SKANAKV
,,,,,,,GO LTF,Undetermined,SKANAKV
1030,CHICAGOBR,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,25-Sep-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Transfer,12-Oct-88,CHICAGOBR
,,,,,,,Death,1-Jun-89,CHICAGOBR
1031,SEATTLE,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,25-Sep-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Transfer,16-Jul-92,SEATTLE
,,,,,,,Death,19-Jan-04,SEATTLE
1032,CINCINNAT,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1985 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,11-Mar-97,CINCINNAT
1033,CINCINNAT,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,1-Mar-86,SKANAKV
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,27-Jul-88,CINCINNAT
1034,CINCINNAT,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1985 +/- 6 month,Lao People's Democratic Republic / ~
,,,,,,,Wild Capture,Undetermined,Lao People's Democratic Republic / ~
,,,,,,,Transfer,Undetermined,FORSS
,,,,,,,Transfer,29-Dec-86,POZNAN
,,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,14-Feb-92,CINCINNAT
1035,CINCINNAT,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,FORSS
,,,,,,,Transfer,29-Dec-86,POZNAN
,,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,23-Nov-90,CINCINNAT
1036,CINCINNAT,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,FORSS
,,,,,,,Transfer,29-Dec-86,POZNAN
,,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,25-Oct-89,CINCINNAT
1037,CINCINNAT,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,1-Jun-90,CINCINNAT
1038,CINCINNAT,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,11-May-86,SKANAKV
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,,Death,13-Jul-89,CINCINNAT
1039,PHILADELP,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,Undetermined,WORLDWIDE
,,,,,,,Transfer,15-Oct-87,CINCINNAT
,,,,,,,Transfer,28-Nov-90,PHILADELP
,,,,,,,Death,18-May-97,PHILADELP
1040,PHILADELP,Female,,1013,1001,Captive Birth/Hatch,Birth/Hatch,01/Jan/1986 +/- 6 month,SKANAKV
,,,,,,,Transfer,11-Oct-88,PHILADELP
,,,,,,,Death,17-Aug-02,PHILADELP
1041,PHILADELP,Male,,1029,1000,Captive Birth/Hatch,Birth/Hatch,01/Dec/1986 +/- 6 month,SKANAKV
,,,,,,,Transfer,11-Oct-88,PHILADELP
,,,,,,,Death,7-Apr-01,PHILADELP
1042,HOUSTON,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,7-May-89,SAN FRAN
,,,,,,,Transfer,15-Aug-89,HOUSTON
,,,,,,,Death,5-Nov-99,HOUSTON
1043,SEATTLE,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,Undetermined,CA FG SD
,,,,,,,Transfer,20-Aug-89,SEATTLE
,,,,,,,Death,15-Sep-96,SEATTLE
1044,HOUSTON,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,01/Jan/1984 +/- 15 day,Thailand / ~
,,,,,,,Wild Capture,Undetermined,Thailand / ~
,,,,,,,Transfer,Undetermined,CA FG SD
,,,,,,,Transfer,20-Aug-89,SEATTLE
,,,,,,,Transfer,18-Jun-92,DUKE PRIM
,,,,,,,Transfer,24-Apr-97,HOUSTON
,,,,,,,Death,1-Jan-03,HOUSTON
1045,HOUSTON,Male,,UND,1034,Captive Birth/Hatch,Birth/Hatch,14-Feb-87,POZNAN
,,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,,Transfer,14-Apr-87,SKANAKV
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,10-Aug-88,SAN FRAN
,,,,,,,Transfer,13-Oct-88,SAN FRAN
,,,,,,,Transfer,15-Aug-89,HOUSTON
,,,,,,,Transfer,22-Apr-92,PUEBLO
,,,,,,,Transfer,9-Nov-04,HOUSTON
,,,,,,,Death,22-Jan-09,HOUSTON
1046,HOUSTON,Female,,UND,1035,"Captive
Birth/Hatch",Birth/Hatch,14-Feb-87,POZNAN
,,,,,,,Transfer,14-Mar-87,SKANAKV
,,,,,,,Transfer,14-Apr-87,SKANAKV
,,,,,,,Transfer,10-Aug-88,SAN FRAN
,,,,,,,Transfer,13-Oct-88,SAN FRAN
,,,,,,,Transfer,15-Aug-89,HOUSTON
,,,,,,,Transfer,22-Apr-92,PUEBLO
,,,,,,,Transfer,9-Nov-04,HOUSTON
,,,,,,,Death,12-Aug-06,HOUSTON
1047,DUKE PRIM,Male,,UND,1008,Captive Birth/Hatch,Birth/Hatch,17-Feb-87,SKANAKV
,,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,,Death,9-Aug-98,DUKE PRIM
1048,DUKE PRIM,Female,,1012,1008,Captive Birth/Hatch,Birth/Hatch,1-Jan-88,DUKE PRIM
,,,,,,,Death,21-Sep-90,DUKE PRIM
1049,DUKE PRIM,Male,,1012,1008,Captive Birth/Hatch,Birth/Hatch,1-Jan-88,DUKE PRIM
,,,,,,,Death,1-Jan-88,DUKE PRIM
1050,SANDIEGOZ,Female,,1016,1019,Captive Birth/Hatch,Birth/Hatch,12-Jan-88,SANDIEGOZ
,,,,,,,Death,2-Feb-88,SANDIEGOZ
1051,CHICAGOBR,Male,,1026,1034,Captive Birth/Hatch,Birth/Hatch,29-Feb-88,CINCINNAT
,,,,,,,Transfer,20-Sep-89,CHICAGOBR
,,,,,,,Death,20-Feb-97,CHICAGOBR
1052,CINCINNAT,Undetermined,,1032,1036,"Captive
Birth/Hatch",Birth/Hatch,4-Apr-88,CINCINNAT
,,,,,,,Death,5-Apr-88,CINCINNAT
1053,CRYSTAL G,Undetermined,,1015,1014,Captive Birth/Hatch,Birth/Hatch,10-Apr-88,CRYSTAL G
,,,,,,,Death,26-Mar-92,CRYSTAL G
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
1054,CHICAGOBR,Female,,1030,1024,Captive Birth/Hatch,Birth/Hatch,24-Oct-88,CHICAGOBR
,,,,,,,Death,4-Mar-02,CHICAGOBR
1055,OMAHA,Male,,1012,1008,Captive Birth/Hatch,Birth/Hatch,17-Nov-88,DUKE PRIM
,,,,,,,Transfer,29-Jul-91,OMAHA
,,,,,,,Death,29-Mar-93,OMAHA
1056,OMAHA,Male,,1012,1008,"Captive
Birth/Hatch",Birth/Hatch,17-Nov-88,DUKE PRIM
,,,,,,,Transfer,29-Jul-91,OMAHA
,,,,,,,Death,30-Nov-00,OMAHA
1057,CINCINNAT,Male,,1017,1020,Captive Birth/Hatch,Birth/Hatch,25-Feb-89,SANDIEGOZ
,,,,,,,Transfer,28-Oct-98,CINCINNAT
,,,,,,,Death,20-Aug-05,CINCINNAT
1058,SANDIEGOZ,Female,,1017,1020,Captive Birth/Hatch,Birth/Hatch,25-Feb-89,SANDIEGOZ
,,,,,,,Death,20-Dec-08,SANDIEGOZ
1059,SANDIEGOZ,Male,,1016,1019,Captive Birth/Hatch,Birth/Hatch,26-Feb-89,SANDIEGOZ
,,,,,,,Death,27-Jul-99,SANDIEGOZ
1060,SD-WAP,Female,,1018,1021,"Captive
Birth/Hatch",Birth/Hatch,27-Feb-89,SANDIEGOZ
,,,,,,,Transfer,1-Feb-02,SD-WAP
,,,,,,,Death,2-May-02,SD-WAP
1061,SANDIEGOZ,Female,,1018,1021,"Captive
Birth/Hatch",Birth/Hatch,27-Feb-89,SANDIEGOZ
,,,,,,,Death,29-Nov-02,SANDIEGOZ
1062,CINCINNAT,Undetermined,,1032,1036,Captive Birth/Hatch,Birth/Hatch,15-Aug-89,CINCINNAT
,,,,,,,Death,15-Aug-89,CINCINNAT
1063,CINCINNAT,Female,,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,17-Jan-90,PHILADELP
,,,,,,,Transfer,20-Feb-97,CINCINNAT
,,,,,,,Death,16-Apr-04,CINCINNAT
1064,SEATTLE,Male,,1041,1040,Captive Birth/Hatch,Birth/Hatch,17-Jan-90,PHILADELP
,,,,,,,Transfer,13-Jun-91,SEATTLE
,,,,,,,Death,1-Dec-02,SEATTLE
1065,CLEVELAND,Male,,1016,1019,Captive Birth/Hatch,Birth/Hatch,24-Mar-90,SANDIEGOZ
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,19-Jul-02,CLEVELAND
,,,,,,,Death,16-Feb-09,CLEVELAND
1066,CHICAGOBR,Male,,1045,1046,Captive Birth/Hatch,Birth/Hatch,6-Apr-90,HOUSTON
,,,,,,,Transfer,23-May-97,CHICAGOBR
,,,,,,,Death,24-Apr-98,CHICAGOBR
1067,HOUSTON,Female,,1045,1046,"Captive
Birth/Hatch",Birth/Hatch,6-Apr-90,HOUSTON
,,,,,,,Death,19-Dec-99,HOUSTON
1068,PAIGNTON,Male,,1051,1054,Captive Birth/Hatch,Birth/Hatch,15-Jun-90,CHICAGOBR
,,,,,,,Transfer,10-Nov-93,PAIGNTON
,,,,,,,Transfer,26-May-94,SHALDON
,,,,,,,Transfer,29-Mar-95,PAIGNTON
,,,,,,,Death,12-Dec-02,PAIGNTON
1069,CHICAGOBR,Male,,1051,1054,Captive Birth/Hatch,Birth/Hatch,15-Jun-90,CHICAGOBR
,,,,,,,Death,16-Jun-90,CHICAGOBR
1070,DUKE PRIM,Male,,1023,1010,Captive Birth/Hatch,Birth/Hatch,30-Jun-90,DUKE PRIM
,,,,,,,Death,5-Jul-90,DUKE PRIM
1071,DUKE PRIM,Female,,1022,1008,Captive Birth/Hatch,Birth/Hatch,17-Aug-90,DUKE PRIM
,,,,,,,Death,18-Aug-90,DUKE PRIM
1072,PAIGNTON,Male,,1023,1010,"Captive
Birth/Hatch",Birth/Hatch,9-Mar-91,DUKE PRIM
,,,,,,,Transfer,3-Nov-93,PAIGNTON
,,,,,,,Death,7-Sep-02,PAIGNTON
1073,DUKE PRIM,Male,,1023,1010,Captive Birth/Hatch,Birth/Hatch,9-Mar-91,DUKE PRIM
,,,,,,,Death,22-Nov-92,DUKE PRIM
1074,CLEVELAND,Male,,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,13-Apr-91,PHILADELP
,,,,,,,Transfer,28-Apr-93,CLEVELAND
,,,,,,,Death,16-May-93,CLEVELAND
1075,CLEVELAND,Male,,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,13-Apr-91,PHILADELP
,,,,,,,Transfer,28-Apr-93,CLEVELAND
,,,,,,,Death,6-Aug-96,CLEVELAND
1076,CRYSTAL G,Female,,1015,1014,Captive Birth/Hatch,Birth/Hatch,9-Nov-91,CRYSTAL G
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Death,01/Apr/1993 +/- 1 day,CRYSTAL G
1077,CRYSTAL G,Female,,1015,1014,"Captive
Birth/Hatch",Birth/Hatch,9-Nov-91,CRYSTAL G
,,,,,,,Death,31/Dec/1995 +/- 15 day,CRYSTAL G
1078,CLEVELAND,Male,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Undetermined
,,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,,Transfer,Undetermined,USDI
,,,,,,,Transfer,21-Feb-91,NY BRONX
,,,,,,,Transfer,12-Apr-95,CLEVELAND
,,,,,,,Death,29-May-98,CLEVELAND
1079,OMAHA,Female,,1042,1067,"Captive
Birth/Hatch",Birth/Hatch,14-Feb-92,HOUSTON
,,,,,,,Transfer,30-Aug-94,DUKE PRIM
,,,,,,,Transfer,8-Oct-98,OMAHA
,,,,,,,Death,8-Jun-05,OMAHA
1080,HOUSTON,Female,,1042,1067,"Captive
Birth/Hatch",Birth/Hatch,14-Feb-92,HOUSTON
,,,,,,,Death,15-Jun-93,HOUSTON
1081,SANDIEGOZ,Female,,1057,1060,Captive Birth/Hatch,Birth/Hatch,29-Feb-92,SANDIEGOZ
,,,,,,,Death,29-Feb-92,SANDIEGOZ
1082,PAIGNTON,Male,,1051,1054,Captive Birth/Hatch,Birth/Hatch,3-Apr-92,CHICAGOBR
,,,,,,,Transfer,10-Nov-93,PAIGNTON
,,,,,,,Death,13-Apr-95,PAIGNTON
1083,WHEELING,Female,,1041,1040,Captive Birth/Hatch,Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,,Transfer,13-Jul-00,WHEELING
,,,,,,,Death,19-Aug-01,WHEELING
1084,PHILADELP,Female,,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,,Death,7-Jun-99,PHILADELP
1085,PHILADELP,Undetermined,,1041,1040,Captive Birth/Hatch,Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,,Death,10-Aug-92,PHILADELP
1086,PHILADELP,Undetermined,,1041,1040,"Captive
Birth/Hatch",Birth/Hatch,8-Aug-92,PHILADELP
,,,,,,,Death,9-Aug-92,PHILADELP
1087,TAIPEI,Female,,UND,UND,Undetermined,Birth/Hatch,Undetermined,Undetermined
Studboo k ID,Current Location,Sex Type,,Sire,Dam,Birth Type,Event Type,Date,Location
,,,,,,,Transfer,Undetermined,FERNDALE
,,,,,,,Transfer,17-Jan-87,TAIPEI
,,,,,,,Death,1-Jul-03,TAIPEI
1088,CLEVELAND,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,USDI
,,,,,,,Transfer,22-Sep-93,SEATTLE
,,,,,,,Transfer,27-Jun-97,CLEVELAND
,,,,,,,Death,9-Aug-08,CLEVELAND
1089,SANDIEGOZ,Female,,WILD,WILD,Wild Birth/Hatch,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,,Transfer,Undetermined,USDI
,,,,,,,Transfer,3-Apr-93,LOSANGELE
,,,,,,,Transfer,8-Jul-94,SANDIEGOZ
,,,,,,,Death,27-Feb-09,SANDIEGOZ
1090,OASES,Male,,1015,1014,Captive Birth/Hatch,Birth/Hatch,14-Nov-92,CRYSTAL G
,,,,,,,Transfer,22-Mar-05,OASES
,,,,,,,Death,5-Jun-07,OASES
1091,IND RIV R,Female,,1015,1014,Captive Birth/Hatch,Birth/Hatch,14-Nov-92,CRYSTAL G
,,,,,,,Transfer,15-Oct-04,IND RIV R
,,,,,,,Death,21-Nov-07,IND RIV R
1092,SANDIEGOZ,Male,,1017,1021,"Captive
Birth/Hatch",Birth/Hatch,24-Mar-93,SANDIEGOZ
,,,,,,,Death,27-Mar-93,SANDIEGOZ
1093,HOUSTON,Male,,1051,1054,Captive Birth/Hatch,Birth/Hatch,30-May-93,CHICAGOBR
,,,,,,,Transfer,16-Sep-97,HOUSTON
,,,,,,,Death,20-Apr-03,HOUSTON
